;Уровень снижения
0;24.31573346118558
1;29.956203409593503
2;32.32266727495143
3;23.71160481003302
4;29.4029529181163
5;69.33493741102237
6;26.915387254909717
7;25.453698554832048
8;38.75884995173351
9;46.160030074026125
10;31.179227954808965
11;37.800383168726846
12;28.657720277180342
13;58.27362196491907
14;37.23206935510627
15;2.8655369654044027
16;0.0
17;28.322828427423012
18;28.98708090790145
19;27.50977395425546
20;19.324998488174227
21;26.651185537881418
22;28.44771076767633
23;29.10037646451662
24;34.38434087378613
25;27.765399090811965
26;13.717016365260731
27;24.919225685857967
28;19.890795931650057
29;32.46166919925286
30;52.08594504723756
31;24.54299593321086
32;27.52828655087861
33;29.499001979909913
34;36.528953606861826
35;17.072469557910573
36;26.293343089763198
37;51.245328430512714
38;42.922747478797454
39;26.03233975803353
40;31.967875224752245
41;53.10308016141092
42;34.262820942670054
43;24.738177030194507
44;29.904474194779045
45;46.44946446001475
46;19.868849005577932
47;26.92682121680592
48;37.18789508134141
49;60.39685093455746
50;30.408394788628346
51;29.48872488137605
52;33.3953548296411
53;27.642300525359232
54;28.0890145802271
55;40.50753751080904
56;42.40732768439939
57;29.573375286361784
58;18.85466809021646
59;18.61388621990347
60;29.442945848575413
61;27.43086411266219
62;43.708685358425136
63;32.07910664357314
64;27.812799442880063
65;28.609821740854308
66;31.131927248466113
67;27.39286245072026
68;28.48434335347365
69;33.3703301972158
70;8.240710367267623
71;32.784376812012624
72;27.470322270037233
73;19.299929336355877
74;28.077235399058775
75;29.86848190523228
76;53.19938973891256
77;20.988179228547377
78;56.53801806602665
79;20.931808350571607
80;25.3622730362807
81;25.002645278775283
82;28.17192722476982
83;34.53900073495409
84;23.538204548896672
85;30.202417292221355
86;28.627946626652225
87;28.158919546730687
88;17.601967679604105
89;26.104425824092747
90;30.902268824235534
91;22.761096560004923
92;44.51140190867224
93;47.338871834348325
94;43.56839046372754
95;60.235905724359064
96;19.767554878107852
97;29.231046147747016
98;30.84187693772528
99;88.80478542623884
100;40.56846863591286
101;25.674514758419146
102;23.684393335581746
103;31.540461348103797
104;35.09760111400625
105;24.23223092457189
106;95.84178041995234
107;30.625540912023364
108;42.02670218900962
109;31.099701214947785
110;35.38878948476461
111;41.18464806394254
112;19.14249261387932
113;26.493589986347928
114;38.64614170152913
115;29.1324326042375
116;22.114251540335644
117;21.71314371613181
118;33.102725010097615
119;44.65749000204872
120;21.04103146015386
121;28.492794954468092
122;24.21157587833359
123;30.609480313351195
124;37.44589237701994
125;34.13731129078379
126;24.65930282000814
127;31.659370192377366
128;37.12941029433692
129;34.32090573293327
130;24.756773293992662
131;38.750881780628426
132;38.350927849291715
133;55.73977519123892
134;32.80326059089424
135;50.074247461729115
136;29.860980444070464
137;40.69049108265609
138;40.905616530074056
139;22.630866425570467
140;46.39161494339235
141;27.542359509933945
142;80.4459153143321
143;35.68154950391108
144;22.010629646150793
145;36.0818076609884
146;31.783432282707412
147;32.51269667491127
148;19.11321100442971
149;34.59598122281624
150;34.89506078754621
151;32.14800563572633
152;24.252334924410924
153;14.61739226992536
154;26.164314224588324
155;22.85088422499505
156;38.866620515087064
157;32.57093576683273
158;37.10230117876457
159;29.59412201094715
160;30.27849527685756
161;28.133653795509534
162;34.26661084602621
163;29.77393153387376
164;25.528868633624352
165;14.539321962184323
166;38.479559740986815
167;36.012925708336915
168;22.70207007947907
169;18.647984368349803
170;26.35870673446268
171;22.597190968888448
172;25.96621163928321
173;25.743801179699933
174;36.977705877883096
175;43.507019470983344
176;20.084822213721914
177;34.246425581946816
178;28.061612570589052
179;27.045010835850974
180;30.606515225137997
181;88.00483388191387
182;23.956418565724068
183;47.11272766889857
184;13.785420087564354
185;25.350904002039343
186;24.432504383547894
187;34.083334608565366
188;14.005556753267316
189;6.5603782365937
190;34.7497296995338
191;5.294656532381703
192;43.86668843570295
193;53.10105352943977
194;25.73217115913878
195;26.35728010546145
196;26.7908273764924
197;29.834269091780186
198;22.735703984531945
199;24.54891169485259
200;28.272782741334684
201;54.43384576146111
202;27.949909055379933
203;24.54682646582383
204;27.22527971030486
205;32.56530364416621
206;32.93246913205859
207;30.9307842401011
208;30.259128336307867
209;38.0026751365714
210;33.18955426888681
211;36.471489544703154
212;36.344717664237926
213;27.560013845959432
214;29.820275971575388
215;20.00182382936444
216;19.5405477745482
217;30.554574718691413
218;27.572336427035072
219;32.971619570641394
220;27.866975968590737
221;30.37066237045839
222;14.165028400481358
223;34.809849421592865
224;42.59293267492312
225;39.5085599112706
226;32.58678572015417
227;34.416563953267
228;26.78153451766293
229;33.9487907066653
230;52.48290103298003
231;29.186925070641813
232;33.298104074400094
233;32.04378917229726
234;26.93969905812651
235;26.309700025458977
236;20.140698593994856
237;26.566339043213105
238;30.902026113170372
239;19.21309660631495
240;21.81255891106374
241;38.07366643851407
242;35.27131638321405
243;40.66014756809062
244;29.402283178220102
245;28.720912577938464
246;28.36438398544548
247;47.06569750813223
248;27.67855495290503
249;44.66328038747444
250;33.83766105198029
251;31.583967002618124
252;10.95061899623159
253;39.08991060207598
254;20.379626735051502
255;28.93627373492923
256;30.575531020594752
257;31.59606642680144
258;31.472843881268663
259;20.687319578573703
260;25.287323590205705
261;46.608045126141654
262;31.90927038329381
263;25.124470693520724
264;36.14403430224119
265;22.183950378772753
266;28.39453594523555
267;22.402237394280096
268;21.76434106940913
269;14.890713001038769
270;16.762517531273797
271;33.216588573735265
272;46.490783163400486
