id;Уровень снижения;Участники
2;24.31573346118558;3
10;29.956203409593503;2
14;32.32266727495143;3
15;23.71160481003302;3
19;29.4029529181163;4
21;69.33493741102237;0
23;26.915387254909717;3
24;25.453698554832048;6
28;38.75884995173351;3
34;46.160030074026125;1
45;31.179227954808965;2
46;37.800383168726846;3
47;28.657720277180342;3
50;58.27362196491907;2
59;37.23206935510627;5
61;2.8655369654044027;2
73;0.0;3
83;28.322828427423012;4
84;28.98708090790145;4
89;27.50977395425546;5
100;19.324998488174227;6
103;26.651185537881418;5
104;28.44771076767633;3
122;29.10037646451662;3
136;34.38434087378613;5
159;27.765399090811965;5
160;13.717016365260731;3
166;24.919225685857967;3
168;19.890795931650057;5
181;32.46166919925286;4
182;52.08594504723756;1
184;24.54299593321086;3
189;27.52828655087861;1
194;29.499001979909913;5
201;36.528953606861826;8
206;17.072469557910573;4
210;26.293343089763198;2
211;51.245328430512714;3
218;42.922747478797454;4
219;26.03233975803353;5
225;31.967875224752245;5
233;53.10308016141092;2
239;34.262820942670054;2
240;24.738177030194507;3
250;29.904474194779045;5
251;46.44946446001475;1
262;19.868849005577932;4
274;26.92682121680592;5
275;37.18789508134141;5
279;60.39685093455746;2
283;30.408394788628346;6
291;29.48872488137605;4
295;33.3953548296411;5
301;27.642300525359232;3
313;28.0890145802271;2
315;40.50753751080904;2
326;42.40732768439939;5
327;29.573375286361784;2
350;18.85466809021646;4
356;18.61388621990347;3
360;29.442945848575413;4
362;27.43086411266219;3
379;43.708685358425136;8
382;32.07910664357314;5
384;27.812799442880063;4
387;28.609821740854308;5
393;31.131927248466113;3
395;27.39286245072026;4
401;28.48434335347365;5
415;33.3703301972158;0
437;8.240710367267623;3
438;32.784376812012624;4
448;27.470322270037233;4
458;19.299929336355877;4
461;28.077235399058775;3
465;29.86848190523228;4
469;53.19938973891256;6
471;20.988179228547377;4
478;56.53801806602665;4
493;20.931808350571607;3
498;25.3622730362807;4
506;25.002645278775283;6
512;28.17192722476982;0
513;34.53900073495409;1
514;23.538204548896672;5
518;30.202417292221355;5
553;28.627946626652225;5
558;28.158919546730687;5
564;17.601967679604105;5
567;26.104425824092747;3
574;30.902268824235534;2
579;22.761096560004923;2
583;44.51140190867224;8
584;47.338871834348325;7
587;43.56839046372754;1
592;60.235905724359064;3
597;19.767554878107852;3
602;29.231046147747016;5
607;30.84187693772528;3
616;88.80478542623884;3
617;40.56846863591286;5
618;25.674514758419146;4
620;23.684393335581746;3
622;31.540461348103797;6
624;35.09760111400625;5
625;24.23223092457189;3
630;95.84178041995234;0
631;30.625540912023364;3
632;42.02670218900962;7
639;31.099701214947785;2
642;35.38878948476461;2
651;41.18464806394254;8
653;19.14249261387932;3
656;26.493589986347928;3
663;38.64614170152913;5
673;29.1324326042375;3
692;22.114251540335644;4
694;21.71314371613181;3
711;33.102725010097615;7
720;44.65749000204872;0
722;21.04103146015386;4
734;28.492794954468092;3
743;24.21157587833359;3
759;30.609480313351195;3
767;37.44589237701994;1
773;34.13731129078379;4
795;24.65930282000814;2
796;31.659370192377366;4
797;37.12941029433692;1
803;34.32090573293327;3
813;24.756773293992662;5
824;38.750881780628426;2
832;38.350927849291715;1
842;55.73977519123892;0
863;32.80326059089424;4
869;50.074247461729115;2
876;29.860980444070464;6
890;40.69049108265609;2
891;40.905616530074056;2
896;22.630866425570467;2
907;46.39161494339235;2
918;27.542359509933945;2
921;80.4459153143321;0
923;35.68154950391108;2
946;22.010629646150793;2
950;36.0818076609884;3
955;31.783432282707412;5
960;32.51269667491127;6
968;19.11321100442971;2
977;34.59598122281624;3
997;34.89506078754621;5
1000;32.14800563572633;4
1002;24.252334924410924;3
1003;14.61739226992536;3
1004;26.164314224588324;3
1016;22.85088422499505;4
1019;38.866620515087064;1
1026;32.57093576683273;6
1036;37.10230117876457;2
1037;29.59412201094715;3
1043;30.27849527685756;4
1066;28.133653795509534;4
1098;34.26661084602621;4
1109;29.77393153387376;5
1138;25.528868633624352;2
1139;14.539321962184323;5
1146;38.479559740986815;2
1154;36.012925708336915;7
1164;22.70207007947907;5
1170;18.647984368349803;0
1174;26.35870673446268;4
1180;22.597190968888448;3
1181;25.96621163928321;2
1208;25.743801179699933;2
1212;36.977705877883096;3
1217;43.507019470983344;1
1228;20.084822213721914;3
1235;34.246425581946816;6
1236;28.061612570589052;2
1238;27.045010835850974;2
1244;30.606515225137997;7
1260;88.00483388191387;1
1266;23.956418565724068;3
1269;47.11272766889857;6
1274;13.785420087564354;2
1279;25.350904002039343;3
1280;24.432504383547894;2
1282;34.083334608565366;3
1284;14.005556753267316;3
1290;6.5603782365937;3
1297;34.7497296995338;3
1324;5.294656532381703;2
1332;43.86668843570295;7
1345;53.10105352943977;2
1346;25.73217115913878;3
1350;26.35728010546145;4
1351;26.7908273764924;4
1353;29.834269091780186;5
1357;22.735703984531945;2
1371;24.54891169485259;3
1386;28.272782741334684;2
1398;54.43384576146111;1
1400;27.949909055379933;5
1401;24.54682646582383;1
1408;27.22527971030486;6
1424;32.56530364416621;4
1443;32.93246913205859;3
1445;30.9307842401011;2
1448;30.259128336307867;2
1483;38.0026751365714;6
1496;33.18955426888681;5
1498;36.471489544703154;3
1511;36.344717664237926;0
1514;27.560013845959432;6
1528;29.820275971575388;2
1532;20.00182382936444;2
1537;19.5405477745482;2
1545;30.554574718691413;4
1546;27.572336427035072;5
1549;32.971619570641394;6
1557;27.866975968590737;6
1561;30.37066237045839;4
1568;14.165028400481358;1
1580;34.809849421592865;1
1584;42.59293267492312;3
1596;39.5085599112706;3
1598;32.58678572015417;3
1630;34.416563953267;5
1631;26.78153451766293;3
1632;33.9487907066653;3
1639;52.48290103298003;1
1646;29.186925070641813;4
1672;33.298104074400094;5
1674;32.04378917229726;2
1679;26.93969905812651;2
1694;26.309700025458977;3
1695;20.140698593994856;3
1701;26.566339043213105;4
1711;30.902026113170372;3
1713;19.21309660631495;3
1726;21.81255891106374;4
1728;38.07366643851407;1
1733;35.27131638321405;1
1735;40.66014756809062;4
1738;29.402283178220102;5
1742;28.720912577938464;3
1746;28.36438398544548;4
1755;47.06569750813223;2
1762;27.67855495290503;5
1776;44.66328038747444;3
1783;33.83766105198029;5
1800;31.583967002618124;2
1804;10.95061899623159;4
1807;39.08991060207598;7
1812;20.379626735051502;2
1814;28.93627373492923;8
1817;30.575531020594752;6
1818;31.59606642680144;2
1828;31.472843881268663;2
1835;20.687319578573703;4
1837;25.287323590205705;4
1849;46.608045126141654;3
1857;31.90927038329381;4
1870;25.124470693520724;7
1871;36.14403430224119;1
1877;22.183950378772753;3
1885;28.39453594523555;3
1889;22.402237394280096;4
1898;21.76434106940913;4
1915;14.890713001038769;3
1920;16.762517531273797;3
1921;33.216588573735265;3
1928;46.490783163400486;2
1935;26.100708604485163;8
1943;33.27723801178297;3
1957;16.282600747600778;4
1963;20.882873660620717;2
1964;36.1561323531183;2
1966;29.39471326543344;5
1976;18.115921108683356;3
1985;32.85953817995428;3
1987;43.513214821883494;3
2000;2.184035946569179;1
2006;28.187465310255128;2
2044;31.432749817634747;3
2048;35.33324960802801;8
2050;30.26374728421455;2
2052;17.559900666407557;1
2081;53.795690499417994;1
2088;22.88340416711232;5
2089;28.12465831549803;7
2095;71.40229457337628;13
2103;55.344799945836535;2
2107;32.3572107289538;1
2108;41.51028002073889;9
2112;30.628814270866876;0
2119;28.324242426288336;4
2121;36.21114808444422;6
2125;23.474425970927026;3
2129;41.77812316492203;5
2135;39.41494827238196;2
2136;32.88438294958876;2
2139;27.743554153005682;2
2143;34.18842127360983;2
2145;100.0;0
2147;23.04975756619895;5
2160;35.04954615241037;4
2161;48.14648696353997;2
2173;34.12376384293566;1
2177;36.32202341627019;2
2185;21.36127857487391;3
2193;62.78671928213848;2
2198;31.42643359622416;4
2206;51.19002562309082;1
2210;26.6583544237566;3
2212;74.19108902483951;1
2213;33.02740696378465;4
2224;43.58455452049827;2
2227;27.514079593123608;4
2228;30.08580281867193;9
2246;41.77338623166248;3
2248;36.0432907677891;2
2254;9.603748250840349;1
2257;24.78535640470713;3
2259;32.780610951409855;2
2268;20.56542679481999;5
2274;30.414767627212207;5
2279;40.210973304314514;3
2289;28.738285491513217;2
2315;32.041650101211;2
2323;22.500959845495387;3
2324;51.041303180646146;1
2328;27.0868646827375;3
2329;35.06736523737656;5
2353;27.918553124856306;3
2371;29.383964306805392;5
2377;33.35514240658311;2
2384;44.285307635150744;2
2385;31.697177603708116;3
2389;17.37135605344486;4
2393;28.354927290103564;5
2411;21.374664277677923;2
2419;28.86924181305517;4
2422;42.62445168494355;4
2425;29.932219141452908;3
2428;34.61542239256757;3
2444;15.616884665554624;3
2458;34.15201088593734;5
2468;26.526759587200416;4
2475;29.483554496093046;4
2491;32.47647324325956;5
